n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.19198621771937624,11.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.19198621771937624,11.0,Z,0,E1_before_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.19198621771937624,11.0,Z,0,E2_after_first_H,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,Z,0,E3_after_oracle,0.9908135917238315,0.0029813905527585702,1024
1,0.19198621771937624,11.0,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.19198621771937624,11.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.20943951023931956,12.000000000000002,X,0,E1_before_H,0.9890738003669023,0.0032486201690275726,1024
1,0.20943951023931956,12.000000000000002,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.20943951023931956,12.000000000000002,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.20943951023931956,12.000000000000002,X,0,E4_after_final_H,0.9890738003669025,0.0032486201690275405,1024
1,0.20943951023931956,12.000000000000002,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.20943951023931956,12.000000000000002,Y,0,E1_before_H,0.9890738003669025,0.0032486201690275405,1024
1,0.20943951023931956,12.000000000000002,Y,0,E2_after_first_H,0.9890738003669025,0.0032486201690275405,1024
1,0.20943951023931956,12.000000000000002,Y,0,E3_after_oracle,0.9890738003669025,0.0032486201690275405,1024
1,0.20943951023931956,12.000000000000002,Y,0,E4_after_final_H,0.9890738003669025,0.0032486201690275405,1024
1,0.20943951023931956,12.000000000000002,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.20943951023931956,12.000000000000002,Z,0,E1_before_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.20943951023931956,12.000000000000002,Z,0,E2_after_first_H,0.9890738003669023,0.0032486201690275726,1024
1,0.20943951023931956,12.000000000000002,Z,0,E3_after_oracle,0.9890738003669023,0.0032486201690275726,1024
1,0.20943951023931956,12.000000000000002,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.20943951023931956,12.000000000000002,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.22689280275926285,13.0,X,0,E1_before_H,0.9871850323926171,0.0035148602241229523,1024
1,0.22689280275926285,13.0,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.22689280275926285,13.0,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.22689280275926285,13.0,X,0,E4_after_final_H,0.9871850323926171,0.0035148602241229575,1024
1,0.22689280275926285,13.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.22689280275926285,13.0,Y,0,E1_before_H,0.9871850323926173,0.003514860224122922,1024
1,0.22689280275926285,13.0,Y,0,E2_after_first_H,0.9871850323926173,0.003514860224122922,1024
1,0.22689280275926285,13.0,Y,0,E3_after_oracle,0.9871850323926173,0.003514860224122922,1024
