n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.29670597283903605,17.0,Y,0,no_error,1.0,0.0,1024
1,0.29670597283903605,17.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.29670597283903605,17.0,Z,0,E2_after_first_H,0.9788411458333334,0.004479370041807917,1024
1,0.29670597283903605,17.0,Z,0,E3_after_oracle,0.9811197916666666,0.004250911492339318,1024
1,0.29670597283903605,17.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.29670597283903605,17.0,Z,0,no_error,1.0,0.0,1024
1,0.3141592653589793,18.0,X,0,E1_before_H,0.9759114583333334,0.0047697762367446455,1024
1,0.3141592653589793,18.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.3141592653589793,18.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.3141592653589793,18.0,X,0,E4_after_final_H,0.9768880208333334,0.004676512705751981,1024
1,0.3141592653589793,18.0,X,0,no_error,1.0,0.0,1024
1,0.3141592653589793,18.0,Y,0,E1_before_H,0.9716796875,0.005177611510843598,1024
1,0.3141592653589793,18.0,Y,0,E2_after_first_H,0.9739583333333334,0.004969158013905222,1024
1,0.3141592653589793,18.0,Y,0,E3_after_oracle,0.9759114583333334,0.0047839855082538974,1024
1,0.3141592653589793,18.0,Y,0,E4_after_final_H,0.9749348958333334,0.004874590145479435,1024
1,0.3141592653589793,18.0,Y,0,no_error,1.0,0.0,1024
1,0.3141592653589793,18.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.3141592653589793,18.0,Z,0,E2_after_first_H,0.9775390625,0.004579758243120861,1024
1,0.3141592653589793,18.0,Z,0,E3_after_oracle,0.9736328125,0.004990720957534872,1024
1,0.3141592653589793,18.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.3141592653589793,18.0,Z,0,no_error,1.0,0.0,1024
1,0.33161255787892263,19.0,X,0,E1_before_H,0.9755859375,0.004816732095110225,1024
1,0.33161255787892263,19.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.33161255787892263,19.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.33161255787892263,19.0,X,0,E4_after_final_H,0.9765625,0.004722856092102041,1024
1,0.33161255787892263,19.0,X,0,no_error,1.0,0.0,1024
1,0.33161255787892263,19.0,Y,0,E1_before_H,0.9765625,0.004712081617387717,1024
1,0.33161255787892263,19.0,Y,0,E2_after_first_H,0.9772135416666666,0.004654005354060935,1024
1,0.33161255787892263,19.0,Y,0,E3_after_oracle,0.9713541666666666,0.005203729790099454,1024
1,0.33161255787892263,19.0,Y,0,E4_after_final_H,0.9733072916666666,0.005034377113354236,1024
1,0.33161255787892263,19.0,Y,0,no_error,1.0,0.0,1024
1,0.33161255787892263,19.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.33161255787892263,19.0,Z,0,E2_after_first_H,0.9671223958333334,0.005566262140504492,1024
1,0.33161255787892263,19.0,Z,0,E3_after_oracle,0.9671223958333334,0.005550904152595164,1024
1,0.33161255787892263,19.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.33161255787892263,19.0,Z,0,no_error,1.0,0.0,1024
1,0.3490658503988659,20.0,X,0,E1_before_H,0.9651692708333334,0.005720938605953209,1024
1,0.3490658503988659,20.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.3490658503988659,20.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.3490658503988659,20.0,X,0,E4_after_final_H,0.9658203125,0.005677413840954809,1024
1,0.3490658503988659,20.0,X,0,no_error,1.0,0.0,1024
1,0.3490658503988659,20.0,Y,0,E1_before_H,0.9736328125,0.004995957435624678,1024
1,0.3490658503988659,20.0,Y,0,E2_after_first_H,0.9736328125,0.004985751045258587,1024
1,0.3490658503988659,20.0,Y,0,E3_after_oracle,0.974609375,0.004913331796439469,1024
1,0.3490658503988659,20.0,Y,0,E4_after_final_H,0.9703776041666666,0.005289599311542318,1024
1,0.3490658503988659,20.0,Y,0,no_error,1.0,0.0,1024
